epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50295,2.03586,3.28076,1.946,0.0086,0.91667,0.11863,0.0408,1.88326,3.26753,1.72767,1.429e-05,1.429e-05,1.429e-05
2,17.8909,1.68051,3.21161,1.69287,0.00903,1,0.13854,0.04235,1.78312,3.27811,1.61327,4.24456e-05,4.24456e-05,4.24456e-05
3,26.1766,1.83378,3.23724,1.69157,0.00916,1,0.15248,0.05873,1.6046,3.2555,1.4657,7.00353e-05,7.00353e-05,7.00353e-05
4,35.6041,1.31417,3.04985,1.49614,0.00788,0.9,0.2738,0.12035,1.54764,3.17512,1.50332,9.70591e-05,9.70591e-05,9.70591e-05
5,46.4955,1.18649,2.94895,1.39312,0.00786,0.9,0.44097,0.183,1.59226,3.20569,1.43402,0.000123517,0.000123517,0.000123517
6,55.3215,1.27155,2.8326,1.40004,0.00786,0.9,0.52491,0.2243,1.6707,3.18191,1.46201,0.000149409,0.000149409,0.000149409
7,63.3526,1.02181,2.55697,1.30936,0.00675,0.8,0.3089,0.19217,1.70191,3.15088,1.42917,0.000174735,0.000174735,0.000174735
8,71.7253,1.14132,2.42283,1.35729,0.00785,0.9,0.57745,0.28097,1.38735,3.00911,1.32759,0.000199496,0.000199496,0.000199496
9,79.7689,0.91092,2.10043,1.15199,0.0079,0.9,0.70088,0.35635,1.27078,2.92316,1.3157,0.00022369,0.00022369,0.00022369
10,87.492,1.10819,2.09056,1.30064,0.00796,0.9,0.66457,0.36915,1.24802,2.86413,1.2363,0.000247318,0.000247318,0.000247318
11,95.203,1.01549,1.95558,1.24756,0.0079,0.9,0.60859,0.32452,1.30163,2.83081,1.10439,0.000270381,0.000270381,0.000270381
12,102.973,1.03854,1.81459,1.19361,0.0079,0.9,0.61224,0.39002,1.15352,2.76151,1.0183,0.000292878,0.000292878,0.000292878
13,110.857,0.98819,1.98265,1.26821,0.00793,0.9,0.62591,0.46171,1.26096,2.67537,0.99332,0.000314809,0.000314809,0.000314809
14,118.529,0.85379,1.64791,1.11695,0.00783,0.9,0.76718,0.54623,1.31042,2.66334,0.9788,0.000336174,0.000336174,0.000336174
